        Vehicle ID:	p1B3CC4FB0AN22533
        Make/Model:	Ford  Explorer
   Last Inspection:	2013/3/4
    Current Status:	s

        Vehicle ID:	c1G1PJ5SB4D722034
        Make/Model:	Ford  F 250
   Last Inspection:	2016/4/24
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1PJ5SC2C720744
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/10/20
    Current Status:	s

        Vehicle ID:	i1G1PJ5SC3C723129
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2006/8/2
    Current Status:	s

        Vehicle ID:	c1G1PJ5SC5C716415
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/5/23
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1PJ5SC5C732765
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/11/28
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1PJ5SC7C717730
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2011/8/5
    Current Status:	s

        Vehicle ID:	c1G1PJ5SC7C719814
        Make/Model:	Ford  F 250
   Last Inspection:	2011/12/1
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1PK5SB3E738964
        Make/Model:	Chevrolet Impala
   Last Inspection:	2014/11/1
    Current Status:	s

        Vehicle ID:	c1G1PK5SB5E742989
        Make/Model:	Ford  F 250
   Last Inspection:	2014/12/7
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1G1PK5SB7E738744
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/1/27
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1G1PK5SBXD717487
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2012/9/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PK5SC2C714460
        Make/Model:	Chevrolet Impala
   Last Inspection:	2009/6/14
    Current Status:	s

        Vehicle ID:	p1G1RA6E48CU12231
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/3/13
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1G1RA6E4XDU13275
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2007/1/19
    Current Status:	m

        Vehicle ID:	c1G1RB6E41DU10132
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2016/1/4
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	i1G1RB6E43DU13614
        Make/Model:	Chevrolet Impala
   Last Inspection:	2014/10/12
    Current Status:	m

        Vehicle ID:	i1G1RB6S53HU21751
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/7/19
    Current Status:	s

        Vehicle ID:	p1G1RC6S5XHU11061
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/12/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1RD6E46CU10855
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/12/1
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	i1G1RD6E49BU10080
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2007/7/27
    Current Status:	s

        Vehicle ID:	i1G1RD6E49CU10818
        Make/Model:	Dodge Demon
   Last Inspection:	2009/2/6
    Current Status:	s

        Vehicle ID:	c1G1RD6E49DU10586
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/12/13
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1RD6S53HU10470
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/12/23
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1RD6S56HU21747
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2006/1/3
    Current Status:	a
      Max. Payload:	1.62 tons

        Vehicle ID:	p1G1RD6S58GU12413
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2016/8/8
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	i1G1RH6E41EU15427
        Make/Model:	Dodge Demon
   Last Inspection:	2006/3/7
    Current Status:	m

        Vehicle ID:	c1G1RH6E44EU15898
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/2/11
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1VE52M6V613749
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/1/4
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1G1YJ2D74E513095
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/9/20
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1YM2D77G510417
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2006/8/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1YM3D7XE513160
        Make/Model:	Ford  EcoSport
   Last Inspection:	2013/12/2
    Current Status:	a

        Vehicle ID:	i1G1YT3DW2B510908
        Make/Model:	Dodge Charger
   Last Inspection:	2011/5/28
    Current Status:	s

        Vehicle ID:	i1G1YU2DW9B511202
        Make/Model:	Dodge Demon
   Last Inspection:	2017/8/17
    Current Status:	s

        Vehicle ID:	p1G1YY2182J511884
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/4/3
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1YY22G01511104
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2007/2/15
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	c1G1YY22G41510869
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/1/2
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1YY22G5W511571
        Make/Model:	Dodge Journey
   Last Inspection:	2009/11/9
    Current Status:	s

        Vehicle ID:	p1G1YY22G6X510935
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2008/2/17
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1YY22G7X511947
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2016/12/26
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1G1YY22GX1511014
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/2/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1YY2383M511395
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2008/4/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1YY23P6P511282
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/1/4
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	c1G1YY23P9P511113
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2009/7/10
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	p1G1YY26UX7511779
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2015/12/21
    Current Status:	a
   Max. Passengers:	56

        Vehicle ID:	i1G1YY36U27513090
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/9/26
    Current Status:	s

        Vehicle ID:	i1G1YY3D75J510266
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2009/10/27
    Current Status:	s

        Vehicle ID:	c1G1ZA5E02CF23710
        Make/Model:	Ford  F 250
   Last Inspection:	2006/5/25
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G1ZA5E03CF23314
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2006/4/19
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p1G1ZA5E04CF34740
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/6/6
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c1G1ZA5E06A410410
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2013/12/5
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	i1G1ZA5E06AF16437
        Make/Model:	Ford  EcoSport
   Last Inspection:	2008/9/27
    Current Status:	s

        Vehicle ID:	p1G1ZA5E08CF21229
        Make/Model:	Temsa TS45
   Last Inspection:	2011/9/19
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	c1G1ZA5E17BF34224
        Make/Model:	Ford  F 250
   Last Inspection:	2013/5/3
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1ZA5EU4CF19881
        Make/Model:	Ford  Explorer
   Last Inspection:	2010/1/12
    Current Status:	s

        Vehicle ID:	c1G1ZA5EU7CF28986
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/6/18
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1ZA5EU8CF37398
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2010/6/20
    Current Status:	s

        Vehicle ID:	c1G1ZB5E00CF14971
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/7/4
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1ZB5E00CF19934
        Make/Model:	Ford  Explorer
   Last Inspection:	2007/7/16
    Current Status:	s

        Vehicle ID:	p1G1ZB5E01CF22610
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/3/11
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1ZB5E03CF10510
        Make/Model:	Ford  Mustang
   Last Inspection:	2015/10/25
    Current Status:	s

        Vehicle ID:	i1G1ZB5E03CF10510
        Make/Model:	Chevrolet Impala
   Last Inspection:	2015/11/17
    Current Status:	s

        Vehicle ID:	c1G1ZB5E03CF34541
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/4/13
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1ZB5E05CF31120
        Make/Model:	Ford  F 250
   Last Inspection:	2012/10/6
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1ZB5E06CF27856
        Make/Model:	Chevrolet Impala
   Last Inspection:	2016/7/14
    Current Status:	s

        Vehicle ID:	i1G1ZB5E07CF24003
        Make/Model:	Dodge Charger
   Last Inspection:	2012/11/6
    Current Status:	s

        Vehicle ID:	p1G1ZB5E08CF18286
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2015/6/26
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1G1ZB5E08CF26781
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/2/8
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	p1G1ZB5E08CF30242
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/11/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1ZB5E08CF37305
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2006/9/27
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	p1G1ZB5E09CF22208
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2009/1/28
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	p1G1ZB5E09CF23942
        Make/Model:	Temsa TS45
   Last Inspection:	2008/2/28
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	p1G1ZB5E0XCF26162
        Make/Model:	International IC-RE
   Last Inspection:	2015/10/25
    Current Status:	s
   Max. Passengers:	84

        Vehicle ID:	c1G1ZB5E10BF19175
        Make/Model:	Ford  F 250
   Last Inspection:	2017/6/13
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1ZB5E10BF29047
        Make/Model:	Ford  EcoSport
   Last Inspection:	2012/11/9
    Current Status:	s

        Vehicle ID:	i1G1ZB5E12BF12014
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2015/4/9
    Current Status:	s

        Vehicle ID:	p1G1ZB5E13BF16889
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2015/8/1
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1ZB5E13BF32877
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/11/3
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1G1ZB5E15BF26138
        Make/Model:	Ford  F 250
   Last Inspection:	2011/9/25
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G1ZB5E16BF31024
        Make/Model:	Ford  F 250
   Last Inspection:	2012/10/2
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1ZB5E17BF25933
        Make/Model:	Ford  EcoSport
   Last Inspection:	2013/1/28
    Current Status:	s

        Vehicle ID:	c1G1ZB5E19BF39841
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/9/9
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1ZB5E1XBF12076
        Make/Model:	Dodge Charger
   Last Inspection:	2012/9/26
    Current Status:	s

        Vehicle ID:	i1G1ZB5E1XBF28812
        Make/Model:	Dodge Challenger
   Last Inspection:	2010/9/3
    Current Status:	s

        Vehicle ID:	c1G1ZB5EB2AF10844
        Make/Model:	Ford  F 250
   Last Inspection:	2015/11/4
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G1ZB5EB2AF26935
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/5/4
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1ZB5EB5A413992
        Make/Model:	Dodge Journey
   Last Inspection:	2007/8/14
    Current Status:	s

        Vehicle ID:	c1G1ZB5EB7A411983
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/4/14
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1ZB5EB9AF14086
        Make/Model:	Dodge Demon
   Last Inspection:	2009/1/6
    Current Status:	s

        Vehicle ID:	p1G1ZB5EB9AF15222
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2014/3/22
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1G1ZB5EB9AF31462
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2017/5/22
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	i1G1ZB5EB9AF31513
        Make/Model:	Dodge Demon
   Last Inspection:	2016/6/14
    Current Status:	a

        Vehicle ID:	p1G1ZB5S75HF13297
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/8/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1ZB5ST0GF25228
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2016/1/13
    Current Status:	a
      Max. Payload:	2.04 tons

        Vehicle ID:	p1G1ZB5ST0JF10387
        Make/Model:	Ford  Transit Connect
   Last Inspection:	2009/12/25
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1ZB5ST1GF20967
        Make/Model:	Dodge Journey
   Last Inspection:	2010/3/8
    Current Status:	s

        Vehicle ID:	c1G1ZB5ST1GF30151
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/4/9
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1ZB5ST1HF11181
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2006/7/7
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1ZB5ST1HF19514
        Make/Model:	Dodge Demon
   Last Inspection:	2007/8/20
    Current Status:	s

        Vehicle ID:	p1G1ZB5ST1HF22073
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2014/3/20
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1G1ZB5ST1HF27522
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/2/8
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1ZB5ST2GF27782
        Make/Model:	Dodge Demon
   Last Inspection:	2016/10/22
    Current Status:	m

        Vehicle ID:	p1G1ZB5ST2GF29672
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/2/16
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1G1ZB5ST2HF27325
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/2/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1ZB5ST2HF27843
        Make/Model:	Ford  Explorer
   Last Inspection:	2014/6/13
    Current Status:	a

        Vehicle ID:	p1G1ZB5ST3GF20068
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2006/2/16
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1ZB5ST3GF21924
        Make/Model:	Dodge Demon
   Last Inspection:	2014/10/3
    Current Status:	s

        Vehicle ID:	c1G1ZB5ST3HF22841
        Make/Model:	Ford  F 250
   Last Inspection:	2008/8/12
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1ZB5ST3HF28297
        Make/Model:	Dodge Demon
   Last Inspection:	2016/7/11
    Current Status:	s

        Vehicle ID:	p1G1ZB5ST3JF10956
        Make/Model:	Ford  Transit Connect
   Last Inspection:	2017/6/7
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1G1ZB5ST4HF19759
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/5/7
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1ZB5ST5GF20680
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2012/8/17
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	c1G1ZB5ST5GF25661
        Make/Model:	Ford  F 250
   Last Inspection:	2015/1/23
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1ZB5ST5HF17201
        Make/Model:	Ford  Explorer
   Last Inspection:	2009/12/27
    Current Status:	s

        Vehicle ID:	i1G1ZB5ST6GF20406
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/8/20
    Current Status:	m

        Vehicle ID:	i1G1ZB5ST6GF21546
        Make/Model:	Chevrolet Impala
   Last Inspection:	2007/4/26
    Current Status:	a

        Vehicle ID:	i1G1ZB5ST6GF30899
        Make/Model:	Dodge Demon
   Last Inspection:	2009/2/24
    Current Status:	s

        Vehicle ID:	c1G1ZB5ST6GF35542
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2017/1/5
    Current Status:	m
      Max. Payload:	2.33 tons

        Vehicle ID:	p1G1ZB5ST6HF14486
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2011/5/17
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	i1G1ZB5ST6HF20455
        Make/Model:	Dodge Challenger
   Last Inspection:	2015/8/20
    Current Status:	s

        Vehicle ID:	i1G1ZB5ST6HF26287
        Make/Model:	Ford  Explorer
   Last Inspection:	2008/10/22
    Current Status:	s

        Vehicle ID:	c1G1ZB5ST7HF29126
        Make/Model:	Ford  F 250
   Last Inspection:	2015/8/23
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G1ZB5ST8GF18016
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2008/2/23
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1G1ZB5ST8GF29437
        Make/Model:	Chevrolet Impala
   Last Inspection:	2016/7/26
    Current Status:	s

        Vehicle ID:	c1G1ZB5ST8HF11549
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2010/1/28
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	p1G1ZB5ST8HF13013
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/8/20
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1ZB5ST8HF15504
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/4/21
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1ZB5ST8HF19709
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2011/10/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1ZB5ST8HF24307
        Make/Model:	Ford  F 250
   Last Inspection:	2016/3/3
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	p1G1ZB5ST8HF25096
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2008/2/23
